account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
samscrta,0,0.6410575530896488,0.35894244691035115,-1,0.0,1.0,0,2,2
SamuelRWeaver1,0,0.5610518520410475,0.4389481479589526,1,1.0,0.0,3,0,3
scarr6612,1,0.4754370865398878,0.5245629134601122,-1,0.875,0.125,7,1,8
scopferbrace,0,0.7206011749989341,0.27939882500106594,-1,0.0,1.0,0,1,1
sexualhealthns,0,0.7834621060588789,0.2165378939411211,-1,0.0,1.0,0,9,9
shaunkenyon1967,0,0.5892342403595042,0.4107657596404958,-1,0.0,1.0,0,6,6
SheriTreadwell,0,0.7069118045243241,0.29308819547567594,1,1.0,0.0,2,0,2
ShinobiShawn2,0,0.6975146402632237,0.3024853597367763,1,1.0,0.0,2,0,2
ShooguhLipz,0,0.7632094307014166,0.2367905692985835,-1,0.0,1.0,0,8,8
SimonCookeMSI,0,0.8716668506159451,0.12833314938405496,-1,0.0,1.0,0,5,5
sineadgallivann,0,0.6935542190821925,0.3064457809178075,-1,0.0,0.0,0,0,0
soihadanabort,1,0.49503947802432857,0.5049605219756714,-1,0.05,0.95,1,19,20
sojourner_blanc,0,0.7230279955238628,0.27697200447613723,-1,0.0,1.0,0,2,2
strangemoore,0,0.7212651078421223,0.2787348921578777,-1,0.0,1.0,0,1,1
sydneyrenee3,0,0.7088484359436891,0.291151564056311,-1,0.0,1.0,0,1,1
T2theGuajardo,0,0.543885810158484,0.456114189841516,1,1.0,0.0,5,0,5
The_Alma_D,0,0.7225985769473922,0.2774014230526078,-1,0.0,1.0,0,13,13
thejacksonlacy,0,0.7146600688583895,0.2853399311416105,-1,0.0,1.0,0,1,1
thejessicaraven,0,0.8000275935838405,0.19997240641615957,-1,0.25,0.75,1,3,4
TheOpenMicah,0,0.6320245181808268,0.36797548181917317,1,1.0,0.0,2,0,2
tideslifefaith,0,0.5894822354469971,0.4105177645530029,1,1.0,0.0,4,0,4
tjbayus1,0,0.7020077646560255,0.29799223534397445,1,1.0,0.0,1,0,1
tkose98,0,0.5180739256707207,0.4819260743292792,-1,0.0,1.0,0,1,1
TomBurdolski,0,0.5977743751108673,0.4022256248891327,1,1.0,0.0,11,0,11
toratannerchung,0,0.7067730108110217,0.2932269891889782,-1,0.0,1.0,0,1,1
Trevor_Horne,0,0.7281375026300592,0.27186249736994084,-1,0.0,1.0,0,1,1
trianglescheme,1,0.45269193248435413,0.5473080675156459,-1,0.0,1.0,0,7,7
turnerdina1,0,0.6431794498606849,0.3568205501393152,1,1.0,0.0,4,0,4
UKStorageGuru,0,0.5977283125664827,0.4022716874335172,1,1.0,0.0,1,0,1
vailkoyo,0,0.7179306633893061,0.28206933661069383,-1,0.0,1.0,0,2,2
VERASTEGUI100,1,0.4025380734638473,0.5974619265361527,1,0.947368421,0.052631579000000005,18,1,19
Vikar_Singh,0,0.7012114442356709,0.298788555764329,-1,0.0,1.0,0,2,2
VLabarum,0,0.6428956674962933,0.3571043325037066,1,0.923076923,0.076923077,12,1,13
wafulkerson1,0,0.5318171703830705,0.46818282961692953,1,1.0,0.0,2,0,2
WarrenDavidson,0,0.6202858868947394,0.37971411310526054,1,0.9,0.1,9,1,10
WilsonRx,0,0.6470047224134275,0.35299527758657245,1,1.0,0.0,3,0,3
wordspurify27,1,0.2768170756887445,0.7231829243112555,-1,0.0,1.0,0,3,3
